% isAttack normal:	1333
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-9,16-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,highrate,lowrate}

@data
tcp,OTH,66,5982,5982,0,32,32,normal
tcp,OTH,66,2864,2864,0,50,50,normal
tcp,SF,946,3539,3539,0,100,100,normal
tcp,S2,1024,3615,3615,0,100,100,normal
tcp,SF,946,1973,1973,0,100,100,normal
tcp,SF,946,2337,2337,0,78,78,normal
tcp,OTH,66,5109,5109,0,42,42,normal
tcp,OTH,66,3268,3268,0,35,35,normal
tcp,OTH,66,5784,5784,0,41,41,normal
tcp,SF,946,3428,3428,0,95,95,normal
tcp,SF,946,2778,2778,0,100,100,normal
tcp,S1,140,2986,2986,0,100,100,normal
tcp,OTH,66,4679,4679,0,32,32,normal
tcp,OTH,66,2999,2999,0,45,45,normal
tcp,SF,946,2285,2285,0,100,100,normal
tcp,SF,1024,2786,2786,0,89,89,normal
tcp,OTH,66,3358,3358,0,48,48,normal
tcp,SF,946,1479,1479,0,100,100,normal
tcp,OTH,66,2905,2905,0,49,49,normal
tcp,OTH,66,3850,3850,0,49,49,normal
tcp,OTH,66,2766,2766,0,47,47,normal
tcp,SF,1024,3017,3017,0,55,55,normal
tcp,OTH,66,3945,3945,0,18,18,normal
tcp,OTH,66,2142,2142,0,52,52,normal
tcp,SF,946,2021,2021,0,86,86,normal
tcp,OTH,66,4980,4980,0,33,33,normal
tcp,OTH,66,5076,5076,0,25,25,normal
tcp,SF,946,2533,2533,0,100,100,normal
tcp,OTH,66,4883,4883,0,48,48,normal
tcp,SF,946,2114,2114,0,100,100,normal
tcp,OTH,78,5993,5993,0,50,50,normal
tcp,SF,946,3098,3098,0,85,85,normal
tcp,OTH,66,5510,5510,0,100,100,normal
tcp,RSTR,286,3342,3342,0,100,100,normal
tcp,OTH,146,3316,3316,0,47,47,normal
tcp,SF,946,1548,1548,0,100,100,normal
tcp,OTH,66,3185,3185,0,43,43,normal
tcp,SF,946,1943,1943,0,100,100,normal
tcp,OTH,146,3535,3535,0,45,45,normal
tcp,OTH,66,4059,4059,0,37,37,normal
tcp,OTH,66,5084,5084,0,42,42,normal
tcp,OTH,66,4937,4937,0,59,59,normal
tcp,OTH,146,4073,4073,0,34,34,normal
tcp,SF,946,2413,2413,0,100,100,normal
tcp,SF,946,2251,2251,0,100,100,normal
tcp,SF,946,1926,1926,0,100,100,normal
