@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,12,18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,2158,0,86,normal
tcp,OTH,2734,0,51,normal
tcp,OTH,5880,0,55,normal
tcp,SF,1943,0,100,normal
tcp,SF,2102,0,100,normal
tcp,OTH,5517,0,100,normal
tcp,OTH,2586,0,69,normal
tcp,OTH,3586,0,59,normal
tcp,SF,1881,0,100,normal
tcp,SF,4000,0,98,normal
tcp,SF,2065,0,100,normal
tcp,SF,1877,0,100,normal
tcp,OTH,3832,0,31,normal
tcp,OTH,3361,0,49,normal
tcp,OTH,4296,0,46,normal
tcp,SF,3517,0,100,normal
tcp,OTH,1883,0,39,normal
tcp,OTH,5163,0,42,normal
tcp,OTH,4487,0,49,normal
tcp,OTH,3157,0,40,normal
tcp,SF,3014,0,55,normal
tcp,OTH,3988,0,48,normal
tcp,SF,2202,0,100,normal
tcp,OTH,5315,0,73,normal
tcp,SF,502,0,97,normal
tcp,SF,3874,0,100,normal
tcp,OTH,4496,0,47,normal
tcp,OTH,2721,0,46,normal
tcp,SF,2101,0,100,normal
tcp,SF,2700,0,78,normal
tcp,SF,2108,0,100,normal
tcp,SF,1112,0,100,normal
tcp,SF,3953,0,100,normal
tcp,OTH,2731,0,48,normal
tcp,SF,3068,0,69,normal
tcp,SF,2995,0,100,normal
tcp,SF,2815,0,100,normal
tcp,SF,3883,0,100,normal
tcp,SF,2161,0,100,normal
tcp,SF,3211,0,96,normal
tcp,SF,2394,0,100,normal
tcp,SF,1303,0,100,normal
tcp,SF,2453,0,100,normal
