% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4-5,8-10,23,27'

@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,slowBody}

@data
78,0,4942,4942,0,0,tcpFlood
78,0,539,539,0,0,tcpFlood
78,0,4976,4976,0,0,tcpFlood
78,0,4678,4678,0,0,tcpFlood
78,0,431,431,0,0,tcpFlood
78,0,4717,4717,0,0,tcpFlood
78,0,4735,4735,0,0,tcpFlood
78,0,978,978,0,0,tcpFlood
78,0,4339,4339,0,0,tcpFlood
78,0,2357,2357,0,0,tcpFlood
78,0,4851,4851,0,0,tcpFlood
78,0,2748,2748,0,0,tcpFlood
78,0,677,677,0,0,tcpFlood
78,0,1874,1874,0,0,tcpFlood
78,0,5514,5514,0,0,tcpFlood
78,0,786,786,0,0,tcpFlood
78,0,3869,3869,0,0,tcpFlood
78,0,2050,2050,0,0,tcpFlood
78,0,6070,6070,0,0,tcpFlood
78,0,1158,1158,0,0,tcpFlood
78,0,5025,5025,0,0,tcpFlood
78,0,6006,6006,0,0,tcpFlood
78,0,1255,1255,0,0,tcpFlood
78,0,504,504,0,0,tcpFlood
78,0,472,472,0,0,tcpFlood
78,0,6002,6002,0,0,tcpFlood
78,0,1118,1118,0,0,tcpFlood
78,0,3609,3609,0,0,tcpFlood
78,0,24,24,0,0,tcpFlood
78,0,4760,4760,0,0,tcpFlood
78,0,1365,1365,0,0,tcpFlood
78,0,3727,3727,0,0,tcpFlood
78,0,5400,5400,0,0,tcpFlood
78,0,4145,4145,0,0,tcpFlood
78,0,5369,5369,0,0,tcpFlood
78,0,999,999,0,0,tcpFlood
78,0,758,758,0,0,tcpFlood
78,0,3386,3386,0,0,tcpFlood
78,0,1982,1982,0,0,tcpFlood
78,0,5433,5433,0,0,tcpFlood
78,0,2296,2296,0,0,tcpFlood
78,0,4758,4758,0,0,tcpFlood
78,0,1430,1430,0,0,tcpFlood
78,0,2270,2270,0,0,tcpFlood
78,0,6062,6062,0,0,tcpFlood
78,0,2843,2843,0,0,tcpFlood
78,0,1217,1217,0,0,tcpFlood
78,0,3622,3622,0,0,tcpFlood
78,0,6219,6219,0,0,tcpFlood
78,0,1468,1468,0,0,tcpFlood
78,0,5779,5779,0,0,tcpFlood
78,0,2793,2793,0,0,tcpFlood
78,0,1161,1161,0,0,tcpFlood
78,0,6183,6183,0,0,tcpFlood
78,0,2330,2330,0,0,tcpFlood
78,0,498,498,0,0,tcpFlood
78,0,654,654,0,0,tcpFlood
78,0,1327,1327,0,0,tcpFlood
78,0,2761,2761,0,0,tcpFlood
78,0,3926,3926,0,0,tcpFlood
78,0,2518,2518,0,0,tcpFlood
78,0,3963,3963,0,0,tcpFlood
78,0,809,809,0,0,tcpFlood
78,0,4093,4093,0,0,tcpFlood
78,0,1170,1170,0,0,tcpFlood
78,0,4269,4269,0,0,tcpFlood
78,0,4531,4531,0,0,tcpFlood
78,0,4358,4358,0,0,tcpFlood
78,0,3686,3686,0,0,tcpFlood
78,0,5456,5456,0,0,tcpFlood
78,0,75,75,0,0,tcpFlood
78,0,3716,3716,0,0,tcpFlood
78,0,4421,4421,0,0,tcpFlood
78,0,5920,5920,0,0,tcpFlood
78,0,4837,4837,0,0,tcpFlood
78,0,617,617,0,0,tcpFlood
78,0,2780,2780,0,0,tcpFlood
78,0,5102,5102,0,0,tcpFlood
78,0,6280,6280,0,0,tcpFlood
78,0,3082,3082,0,0,tcpFlood
78,0,2623,2623,0,0,tcpFlood
78,0,1886,1886,0,0,tcpFlood
78,0,4126,4126,0,0,tcpFlood
78,0,356,356,0,0,tcpFlood
