% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,7-9,14,18,22,38,40'

@attribute total_fpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute min_active numeric
@attribute total_fhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
12356,0,40,40,0,-1,2435,0,30092063,247128,udpFlood
3190,0,40,40,0,-1,8482,0,8203877,63808,udpFlood
4514,0,40,40,0,-1,6506,0,29363006,90288,udpFlood
1729,0,40,40,0,-1,10579,0,2358495,34588,udpFlood
8824,0,40,40,0,-1,3281,0,8434706,176488,udpFlood
2881,0,40,40,0,-1,8608,0,1120703,57628,udpFlood
4672,0,40,40,0,-1,2065,0,9647739,93448,udpFlood
4,0,79,79,0,-1,21,0,13,88,udpFlood
8712,0,40,40,0,-1,3357,0,29245451,174248,udpFlood
2782,0,40,40,0,-1,9346,0,9593194,55648,udpFlood
17614,0,40,40,0,-1,1701,0,29963998,352288,udpFlood
7824,0,40,40,0,-1,3753,0,29366565,156488,udpFlood
6388,0,40,40,0,-1,4083,0,34813,127768,udpFlood
18660,0,40,40,0,-1,1625,0,30326697,373208,udpFlood
2426,0,40,40,0,-1,10714,0,9602590,48528,udpFlood
5553,0,40,40,0,-1,4652,0,229333,111068,udpFlood
5928,0,40,40,0,-1,4351,0,230950,118568,udpFlood
9265,0,40,40,0,-1,3128,0,8463986,185308,udpFlood
3438,0,40,40,0,-1,7879,0,8330878,68768,udpFlood
1600,0,40,40,0,-1,12065,0,2872472,32008,udpFlood
7660,0,40,40,0,-1,3834,0,29365445,153208,udpFlood
8953,0,40,40,0,-1,3266,0,29245669,179068,udpFlood
2909,0,40,40,0,-1,8936,0,8243970,58188,udpFlood
9135,0,40,40,0,-1,3201,0,29244490,182708,udpFlood
19155,0,40,40,0,-1,1583,0,30326662,383108,udpFlood
3410,0,40,40,0,-1,8598,0,29313210,68208,udpFlood
2998,0,40,40,0,-1,8273,0,1801123,59968,udpFlood
3335,0,40,40,0,-1,7424,0,1121676,66708,udpFlood
3469,0,40,40,0,-1,8060,0,12984033,69388,udpFlood
4185,0,40,40,0,-1,7005,0,29312991,83708,udpFlood
9967,0,40,40,0,-1,2946,0,29365906,199348,udpFlood
9051,0,40,40,0,-1,3197,0,8421024,181028,udpFlood
17859,0,40,40,0,-1,1677,0,29956608,357188,udpFlood
15567,0,40,40,0,-1,1906,0,29673978,311348,udpFlood
6483,0,40,40,0,-1,3894,0,34601,129668,udpFlood
6619,0,40,40,0,-1,4513,0,29867292,132388,udpFlood
6864,0,40,40,0,-1,4351,0,29865650,137288,udpFlood
9911,0,40,40,0,-1,2951,0,29245559,198228,udpFlood
