% isAttack normal:	1000
% isAttack attack:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-10,16,18,21-22,27-weka.filters.unsupervised.attribute.Remove'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,66,2894,2894,0,0,50,0,0,normal
tcp,SF,880,986,986,0,0,100,0,0,normal
tcp,SF,946,2351,2351,0,0,100,0,0,normal
tcp,SF,946,3314,3314,0,0,51,0,0,normal
tcp,OTH,66,3297,3297,0,0,47,0.1,0,normal
tcp,S1,880,2206,2206,0.25,0,100,0,0,normal
tcp,SF,946,2577,2577,0,0,52,0,0,normal
tcp,OTH,66,5823,5823,0,0,45,0.09,0,normal
tcp,S1,140,2657,2657,0.37,0,100,0,0,normal
tcp,SF,946,1839,1839,0,0,100,0,0,normal
tcp,OTH,66,2853,2853,0,0,49,0,0,normal
tcp,SF,946,4000,4000,0,0,98,0,0,normal
tcp,SF,946,3960,3960,0,0,100,0,0,normal
tcp,OTH,66,3160,3160,0,0,42,0,0,normal
tcp,SF,880,946,946,0,0,100,0,0,normal
tcp,SF,946,2324,2324,0,0,100,0,0,normal
tcp,SF,946,3248,3248,0,0,100,0,0,normal
tcp,OTH,66,3032,3032,0,0,39,0.03,0,normal
tcp,OTH,66,3158,3158,0,0,51,0.02,0,normal
tcp,OTH,66,3532,3532,0,0,46,0.02,0,normal
tcp,SF,946,2501,2501,0,0,100,0,0,normal
tcp,OTH,66,5687,5687,0,0,47,0.15,0,normal
tcp,SF,880,2315,2315,0,0,100,0,0,normal
tcp,OTH,66,4601,4601,0,0,48,0.06,0,normal
tcp,SF,946,1143,1143,0,0,100,0,0,normal
tcp,SF,946,2246,2246,0,0,100,0,0,normal
tcp,OTH,146,2987,2987,0,0,58,0.02,0,normal
tcp,OTH,66,2592,2592,0,0,68,0,0,normal
tcp,OTH,66,6255,6255,0,0,48,0.12,0,normal
tcp,SF,946,927,927,0,0,100,0,0,normal
tcp,SF,946,35,35,0,0,35,0,0,normal
tcp,RSTR,364,1894,1894,0.13,0,100,0,0,normal
tcp,OTH,66,4646,4646,0,0,52,0.02,0,normal
tcp,SF,946,1008,1008,0,0,100,0,0,normal
tcp,SF,946,2167,2167,0,0,50,0,0,normal
tcp,OTH,66,2616,2616,0,0,51,0.13,0,normal
tcp,SF,946,3363,3363,0,0,73,0,0,normal
tcp,S3,140,1966,1966,0.15,0,100,0,0,normal
tcp,SF,946,1192,1192,0,0,100,0,0,normal
tcp,SF,946,2882,2882,0,0,77,0,0,normal
tcp,OTH,78,2467,2467,0,0,85,0.01,0,normal
tcp,SF,946,746,746,0,0,100,0,0,normal
tcp,OTH,66,3089,3089,0,0,43,0,0,normal
tcp,SF,946,2152,2152,0,0,100,0,0,normal
tcp,SF,946,2137,2137,0,0,100,0,0,normal
tcp,SF,946,2502,2502,0,0,100,0,0,normal
tcp,OTH,66,3615,3615,0,0,94,0.05,0,normal
tcp,SF,946,2314,2314,0,0,100,0,0,normal
tcp,SF,946,2227,2227,0,0,100,0,0,normal
tcp,SF,1024,3094,3094,0,0,73,0,0,normal
tcp,OTH,66,5953,5953,0,0,44,0.04,0,normal
tcp,S1,286,3563,3563,0.49,0,100,0,0,normal
tcp,SF,946,3910,3910,0,0,100,0,0,normal
tcp,SF,946,4195,4195,0,0,76,0,0,normal
tcp,SF,946,2127,2127,0,0,92,0,0,normal
tcp,OTH,66,4924,4924,0,0,57,0,0,normal
tcp,OTH,66,5622,5622,0,0,49,0,0,normal
tcp,SF,946,3375,3375,0,0,100,0,0,normal
tcp,SF,946,2445,2445,0,0,100,0,0,normal
tcp,SF,946,1862,1862,0,0,100,0,0,normal
tcp,OTH,66,6368,6368,0,0,26,0,0,normal
tcp,SF,946,3219,3219,0,0,94,0,0,normal
tcp,OTH,66,3320,3320,0,0,63,0,0,normal
tcp,OTH,78,5709,5709,0,0,48,0.02,0,normal
tcp,SF,946,2113,2113,0,0,100,0,0,normal
tcp,SF,946,1866,1866,0,0,99,0,0,normal
tcp,S1,880,3489,3489,0.48,0,100,0,0,normal
tcp,OTH,66,3197,3197,0,0,84,0.07,0,normal
tcp,SF,946,2536,2536,0,0,100,0,0,normal
tcp,SF,946,4113,4113,0,0,100,0,0,normal
